		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[1]	1.262	0.4056	0.05175	0.5075	2.109	3000	1000
	alpha[2]	3.938	0.446	0.05042	3.066	4.819	3000	1000
	alpha[3]	3.126	0.4623	0.04601	2.234	4.051	3000	1000
	alpha[4]	3.094	0.4156	0.04344	2.313	3.925	3000	1000
	alpha[5]	1.222	0.4192	0.04895	0.3902	2.057	3000	1000
	alpha[6]	1.746	0.4004	0.04889	0.9977	2.559	3000	1000
	alpha[7]	3.045	0.4159	0.04137	2.225	3.844	3000	1000
	alpha[8]	2.278	0.4742	0.04846	1.353	3.241	3000	1000
	alpha[9]	2.38	0.4187	0.04152	1.562	3.218	3000	1000
	alpha[10]	2.118	0.4213	0.04529	1.341	2.941	3000	1000
	alpha[11]	3.006	0.3937	0.04374	2.233	3.785	3000	1000
	alpha[12]	1.572	0.3842	0.04426	0.8404	2.335	3000	1000
	alpha[13]	2.716	0.384	0.0441	1.901	3.478	3000	1000
	alpha[14]	4.24	0.4076	0.0475	3.451	5.057	3000	1000
	alpha[15]	3.582	0.4744	0.04685	2.656	4.523	3000	1000
	alpha[16]	2.223	0.427	0.04596	1.393	3.056	3000	1000
	alpha[17]	3.722	0.3617	0.04164	3.021	4.464	3000	1000
	alpha[18]	1.063	0.3788	0.04481	0.324	1.773	3000	1000
	alpha[19]	3.184	0.4168	0.04556	2.353	3.977	3000	1000
	alpha[20]	1.168	0.3858	0.04548	0.4539	1.923	3000	1000
	alpha[21]	2.269	0.3826	0.04325	1.5	3.008	3000	1000
	alpha[22]	2.034	0.5406	0.04607	0.9097	3.045	3000	1000
	alpha[23]	3.323	0.411	0.04859	2.549	4.125	3000	1000
	alpha[24]	2.877	0.3762	0.04561	2.186	3.637	3000	1000
	alpha[25]	2.724	0.4286	0.04653	1.877	3.564	3000	1000
	alpha[26]	2.331	0.4149	0.0479	1.576	3.147	3000	1000
	alpha[27]	2.442	0.3653	0.03945	1.762	3.176	3000	1000
	alpha[28]	3.806	0.3987	0.04521	3.041	4.6	3000	1000
	alpha[29]	2.511	0.4095	0.04752	1.712	3.344	3000	1000
	alpha[30]	2.288	0.3944	0.04404	1.53	3.109	3000	1000
	alpha[31]	2.439	0.4187	0.04398	1.626	3.251	3000	1000
	alpha[32]	4.249	0.38	0.03995	3.515	4.967	3000	1000
	alpha[33]	1.46	0.4623	0.04202	0.5127	2.373	3000	1000
	alpha[34]	3.518	0.4189	0.04787	2.703	4.348	3000	1000
	alpha[35]	2.725	0.4196	0.05005	1.94	3.532	3000	1000
	alpha[36]	2.754	0.3828	0.03913	2.024	3.571	3000	1000
	alpha[37]	2.351	0.4623	0.04678	1.461	3.258	3000	1000
	alpha[38]	3.16	0.413	0.0416	2.339	3.953	3000	1000
	alpha[39]	3.525	0.3923	0.04482	2.791	4.299	3000	1000
	alpha[40]	4.002	0.707	0.05551	2.574	5.292	3000	1000
	alpha[41]	3.197	0.4199	0.0467	2.375	4.029	3000	1000
	alpha[42]	2.561	0.3972	0.0451	1.792	3.365	3000	1000
	alpha[43]	1.393	0.5581	0.05023	0.312	2.467	3000	1000
	alpha[44]	2.133	0.4016	0.04691	1.34	2.93	3000	1000
