		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[1]	1.874	0.3725	0.04272	1.102	2.592	7001	1000
	alpha[2]	4.325	0.3938	0.04341	3.516	5.077	7001	1000
	alpha[3]	3.604	0.4983	0.04139	2.554	4.518	7001	1000
	alpha[4]	3.418	0.3887	0.03975	2.683	4.24	7001	1000
	alpha[5]	1.947	0.3886	0.03918	1.162	2.7	7001	1000
	alpha[6]	2.282	0.3789	0.04208	1.502	2.968	7001	1000
	alpha[7]	3.378	0.3715	0.03569	2.6	4.098	7001	1000
	alpha[8]	2.853	0.4401	0.04123	1.909	3.718	7001	1000
	alpha[9]	2.689	0.3953	0.03946	1.883	3.477	7001	1000
	alpha[10]	2.689	0.3884	0.04137	1.874	3.442	7001	1000
	alpha[11]	3.354	0.3582	0.03596	2.587	4.039	7001	1000
	alpha[12]	1.959	0.3626	0.04068	1.249	2.65	7001	1000
	alpha[13]	3.183	0.3545	0.03997	2.489	3.885	7001	1000
	alpha[14]	4.493	0.4167	0.04457	3.632	5.317	7001	1000
	alpha[15]	3.969	0.4015	0.04011	3.125	4.711	7001	1000
	alpha[16]	2.842	0.4521	0.04539	1.836	3.726	7001	1000
	alpha[17]	3.968	0.3392	0.03707	3.267	4.598	7001	1000
	alpha[18]	1.721	0.3672	0.03966	0.922	2.387	7001	1000
	alpha[19]	3.607	0.3943	0.0406	2.783	4.345	7001	1000
	alpha[20]	1.691	0.3529	0.03839	0.948	2.377	7001	1000
	alpha[21]	2.542	0.3673	0.04144	1.812	3.264	7001	1000
	alpha[22]	2.371	0.576	0.04592	1.264	3.509	7001	1000
	alpha[23]	3.783	0.3798	0.04116	3.01	4.56	7001	1000
	alpha[24]	3.296	0.3383	0.03649	2.599	3.962	7001	1000
	alpha[25]	2.935	0.4009	0.0371	2.144	3.691	7001	1000
	alpha[26]	2.864	0.4085	0.04239	2.06	3.657	7001	1000
	alpha[27]	2.487	0.3229	0.03513	1.823	3.097	7001	1000
	alpha[28]	4.237	0.3468	0.03557	3.548	4.919	7001	1000
	alpha[29]	2.947	0.3804	0.03954	2.161	3.65	7001	1000
	alpha[30]	2.465	0.3702	0.04133	1.713	3.152	7001	1000
	alpha[31]	2.916	0.3697	0.03736	2.201	3.652	7001	1000
	alpha[32]	4.324	0.349	0.03691	3.631	5.004	7001	1000
	alpha[33]	1.937	0.4203	0.03696	1.153	2.711	7001	1000
	alpha[34]	3.831	0.3757	0.04029	3.084	4.541	7001	1000
	alpha[35]	3.225	0.3694	0.04187	2.489	3.929	7001	1000
	alpha[36]	2.981	0.3456	0.03717	2.302	3.657	7001	1000
	alpha[37]	2.758	0.4303	0.03981	1.904	3.584	7001	1000
	alpha[38]	3.3	0.4501	0.04231	2.412	4.184	7001	1000
	alpha[39]	3.863	0.3713	0.03712	3.09	4.584	7001	1000
	alpha[40]	3.654	0.6745	0.04617	2.325	4.955	7001	1000
	alpha[41]	3.56	0.4523	0.04138	2.694	4.451	7001	1000
	alpha[42]	3.143	0.3848	0.04047	2.341	3.862	7001	1000
	alpha[43]	2.191	0.4515	0.04078	1.282	3.09	7001	1000
	alpha[44]	2.654	0.3842	0.03989	1.842	3.398	7001	1000
	alpha[45]	2.534	0.3778	0.03623	1.753	3.253	7001	1000
	alpha[46]	1.984	0.3787	0.04039	1.181	2.706	7001	1000
	alpha[47]	4.124	0.374	0.03841	3.352	4.851	7001	1000
	alpha[48]	2.705	0.3357	0.03785	2.039	3.365	7001	1000
	alpha[49]	2.667	0.3878	0.03807	1.839	3.419	7001	1000
	alpha[50]	3.981	0.3803	0.03608	3.192	4.707	7001	1000
	alpha[51]	4.722	0.4578	0.03522	3.831	5.574	7001	1000
	alpha[52]	2.596	0.4656	0.04486	1.641	3.5	7001	1000
	alpha[53]	2.804	0.4068	0.03914	1.94	3.531	7001	1000
	alpha[54]	2.383	0.3683	0.03844	1.643	3.079	7001	1000
	alpha[55]	3.249	0.3673	0.03763	2.501	4.0	7001	1000
	alpha[56]	3.139	0.3638	0.03477	2.447	3.82	7001	1000
	alpha[57]	2.416	0.359	0.04182	1.656	3.11	7001	1000
	alpha[58]	3.28	0.3571	0.04222	2.549	3.94	7001	1000
	alpha[59]	3.534	0.3807	0.03811	2.781	4.262	7001	1000
	alpha[60]	2.84	0.36	0.03785	2.068	3.502	7001	1000
	alpha[61]	3.447	0.356	0.03706	2.75	4.11	7001	1000
	alpha[62]	3.123	0.3535	0.03795	2.418	3.798	7001	1000
	alpha[63]	3.457	0.3897	0.04115	2.629	4.191	7001	1000
	alpha[64]	3.696	0.441	0.04399	2.807	4.519	7001	1000
	alpha[65]	2.395	0.3957	0.04032	1.572	3.148	7001	1000
	alpha[66]	1.568	0.3905	0.04033	0.7967	2.33	7001	1000
	alpha[67]	3.535	0.3503	0.03863	2.787	4.223	7001	1000
	alpha[68]	4.149	0.3506	0.03993	3.389	4.826	7001	1000
	alpha[69]	2.309	0.3696	0.03606	1.573	3.037	7001	1000
	alpha[70]	4.129	0.3435	0.03783	3.426	4.775	7001	1000
	alpha[71]	2.331	0.343	0.03668	1.634	2.975	7001	1000
	alpha[72]	2.937	0.4325	0.04047	2.048	3.781	7001	1000
	alpha[73]	3.305	0.4307	0.03596	2.441	4.123	7001	1000
	alpha[74]	3.076	0.3681	0.03608	2.317	3.794	7001	1000
	alpha[75]	2.142	0.4347	0.04461	1.274	2.983	7001	1000
	alpha[76]	2.453	0.4669	0.03724	1.532	3.39	7001	1000
	alpha[77]	3.092	0.4062	0.0408	2.31	3.89	7001	1000
	alpha[78]	2.759	0.3724	0.04115	1.955	3.454	7001	1000
	alpha[79]	1.592	0.4272	0.04362	0.6686	2.428	7001	1000
	alpha[80]	3.173	0.3758	0.03904	2.422	3.924	7001	1000
	alpha[81]	3.174	0.337	0.02835	2.535	3.809	7001	1000
	alpha[82]	2.829	0.3744	0.03944	2.076	3.552	7001	1000
	alpha[83]	4.608	0.4124	0.03924	3.801	5.404	7001	1000
	alpha[84]	3.371	0.4016	0.04185	2.543	4.103	7001	1000
	alpha[85]	1.599	0.3975	0.04211	0.7648	2.336	7001	1000
	alpha[86]	3.271	0.4297	0.03792	2.405	4.155	7001	1000
	alpha[87]	2.406	0.4531	0.04054	1.515	3.352	7001	1000
	alpha[88]	2.836	0.646	0.04234	1.578	4.069	7001	1000
	alpha[89]	1.582	0.4359	0.04037	0.7236	2.421	7001	1000
	alpha[90]	3.222	0.4166	0.03992	2.408	4.02	7001	1000
	alpha[91]	4.415	0.3672	0.04057	3.647	5.105	7001	1000
	alpha[92]	3.214	0.4126	0.03918	2.37	3.967	7001	1000
	alpha[93]	2.047	0.3757	0.03752	1.271	2.765	7001	1000
	alpha[94]	1.943	0.34	0.03493	1.273	2.57	7001	1000
	alpha[95]	3.919	0.5434	0.04166	2.849	4.96	7001	1000
	alpha[96]	1.964	0.3942	0.03514	1.18	2.726	7001	1000
	alpha[97]	2.321	0.366	0.04119	1.554	3.034	7001	1000
	alpha[98]	3.006	0.5786	0.04226	1.779	4.039	7001	1000
	alpha[99]	3.538	0.384	0.03787	2.753	4.27	7001	1000
	alpha[100]	4.067	0.4175	0.04003	3.249	4.932	7001	1000
	alpha[101]	2.857	0.436	0.04234	1.973	3.735	7001	1000
	alpha[102]	3.079	0.4234	0.03978	2.192	3.916	7001	1000
	alpha[103]	2.826	0.3558	0.0354	2.071	3.476	7001	1000
	alpha[104]	1.937	0.5799	0.04566	0.7949	3.08	7001	1000
	alpha[105]	3.073	0.3538	0.03999	2.359	3.719	7001	1000
	alpha[106]	2.197	0.4151	0.03995	1.4	3.004	7001	1000
	alpha[107]	2.685	0.3687	0.04295	1.892	3.429	7001	1000
	alpha[108]	4.122	0.3679	0.03571	3.366	4.801	7001	1000
	alpha[109]	3.376	0.392	0.04186	2.588	4.105	7001	1000
	alpha[110]	2.973	0.3607	0.03864	2.257	3.7	7001	1000
	alpha[111]	3.233	0.6641	0.0464	1.939	4.556	7001	1000
	alpha[112]	3.993	0.4225	0.04097	3.131	4.77	7001	1000
	alpha[113]	1.838	0.3927	0.04051	1.053	2.575	7001	1000
	alpha[114]	2.296	0.4274	0.04009	1.48	3.144	7001	1000
	alpha[115]	1.696	0.4145	0.0415	0.8942	2.473	7001	1000
	alpha[116]	1.551	0.4181	0.0406	0.686	2.329	7001	1000
	alpha[117]	2.766	0.4072	0.03794	1.967	3.551	7001	1000
	alpha[118]	2.518	0.3495	0.03836	1.824	3.174	7001	1000
	alpha[119]	3.932	0.5879	0.04583	2.81	5.1	7001	1000
	alpha[120]	3.073	0.4383	0.04284	2.208	3.927	7001	1000
	alpha[121]	4.054	0.4313	0.04332	3.181	4.851	7001	1000
	alpha[122]	2.046	0.6607	0.03687	0.7822	3.353	7001	1000
	alpha[123]	2.678	0.3996	0.04565	1.873	3.448	7001	1000
	alpha[124]	1.896	0.3634	0.04132	1.198	2.598	7001	1000
	alpha[125]	1.803	0.3659	0.037	1.07	2.508	7001	1000
	alpha[126]	2.789	0.4264	0.04092	1.92	3.664	7001	1000
	alpha[127]	2.452	0.3661	0.04303	1.647	3.119	7001	1000
	alpha[128]	2.883	0.3833	0.03768	2.111	3.594	7001	1000
	alpha[129]	3.637	0.3786	0.0353	2.828	4.339	7001	1000
	alpha[130]	3.292	0.3584	0.03828	2.57	3.981	7001	1000
