		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	beta[1]	0.04363	0.05853	0.001675	-0.07504	0.1578	7001	1000
	beta[2]	0.1036	0.06058	0.002066	-0.01112	0.2188	7001	1000
	beta[3]	0.09686	0.08562	0.00325	-0.07182	0.2668	7001	1000
	beta[4]	-0.03139	0.0631	0.001862	-0.1553	0.08827	7001	1000
	beta[5]	0.08136	0.06658	0.001905	-0.04793	0.2137	7001	1000
	beta[6]	0.007662	0.05836	0.001897	-0.09878	0.1234	7001	1000
	beta[7]	-0.03709	0.06299	0.002178	-0.1598	0.08452	7001	1000
	beta[8]	0.06305	0.06977	0.002148	-0.07118	0.1944	7001	1000
	beta[9]	-0.01742	0.06049	0.001951	-0.1386	0.09679	7001	1000
	beta[10]	0.05456	0.05742	0.001738	-0.05588	0.1689	7001	1000
	beta[11]	0.09252	0.06048	0.002093	-0.02983	0.2077	7001	1000
	beta[12]	0.03346	0.05781	0.001431	-0.07513	0.1517	7001	1000
	beta[13]	0.05579	0.05878	0.002042	-0.06174	0.1702	7001	1000
	beta[14]	0.005547	0.06828	0.002135	-0.1276	0.1386	7001	1000
	beta[15]	0.1263	0.06229	0.002075	0.009568	0.2493	7001	1000
	beta[16]	0.05513	0.0763	0.002257	-0.09324	0.2008	7001	1000
	beta[17]	0.09093	0.05565	0.001772	-0.01539	0.1953	7001	1000
	beta[18]	0.07523	0.05515	0.001717	-0.03424	0.1881	7001	1000
	beta[19]	0.0472	0.06399	0.002264	-0.07648	0.1758	7001	1000
	beta[20]	-0.03314	0.05691	0.001936	-0.1461	0.07935	7001	1000
	beta[21]	-0.06402	0.057	0.001957	-0.1802	0.04694	7001	1000
	beta[22]	-0.0152	0.08645	0.002739	-0.1894	0.1556	7001	1000
	beta[23]	0.06384	0.06301	0.002527	-0.06042	0.1861	7001	1000
	beta[24]	-0.005203	0.05897	0.001632	-0.1208	0.1118	7001	1000
	beta[25]	-0.05823	0.06976	0.002166	-0.2007	0.07793	7001	1000
	beta[26]	0.03001	0.06774	0.002036	-0.1026	0.1632	7001	1000
	beta[27]	-0.3192	0.06087	0.00202	-0.436	-0.2005	7001	1000
	beta[28]	0.09875	0.06238	0.002304	-0.025	0.2231	7001	1000
	beta[29]	-0.004317	0.06773	0.001909	-0.1394	0.1262	7001	1000
	beta[30]	-0.06254	0.06209	0.001907	-0.179	0.06417	7001	1000
	beta[31]	0.06898	0.06329	0.001608	-0.04951	0.1927	7001	1000
	beta[32]	0.02362	0.06243	0.001782	-0.09518	0.1582	7001	1000
	beta[33]	-0.00664	0.07053	0.002488	-0.1398	0.1334	7001	1000
	beta[34]	-0.03413	0.05729	0.001643	-0.1429	0.08212	7001	1000
	beta[35]	0.05156	0.06034	0.001436	-0.06463	0.1736	7001	1000
	beta[36]	0.05154	0.05853	0.001851	-0.06665	0.1622	7001	1000
	beta[37]	-0.005617	0.0716	0.002382	-0.1463	0.1305	7001	1000
	beta[38]	-0.05591	0.0779	0.002576	-0.2049	0.09426	7001	1000
	beta[39]	0.02193	0.0652	0.002397	-0.1144	0.1526	7001	1000
	beta[40]	-0.04636	0.08746	0.003336	-0.2212	0.1189	7001	1000
	beta[41]	0.005299	0.07827	0.002378	-0.1368	0.1622	7001	1000
	beta[42]	0.07685	0.06478	0.002643	-0.052	0.2035	7001	1000
	beta[43]	0.05317	0.0641	0.001952	-0.06733	0.1828	7001	1000
	beta[44]	0.03238	0.0682	0.001889	-0.09587	0.1678	7001	1000
	beta[45]	0.0295	0.06852	0.003508	-0.09842	0.1641	7001	1000
	beta[46]	-0.04728	0.06122	0.001933	-0.1635	0.08139	7001	1000
	beta[47]	-0.01082	0.06497	0.002189	-0.1403	0.1095	7001	1000
	beta[48]	0.06623	0.05856	0.002016	-0.05375	0.1756	7001	1000
	beta[49]	0.1845	0.06042	0.002439	0.07274	0.3072	7001	1000
	beta[50]	0.02636	0.05825	0.001694	-0.08309	0.1364	7001	1000
	beta[51]	-0.03577	0.07782	0.002402	-0.1888	0.1177	7001	1000
	beta[52]	0.08426	0.07918	0.00291	-0.07537	0.2422	7001	1000
	beta[53]	0.0627	0.07025	0.00196	-0.0743	0.2038	7001	1000
	beta[54]	0.003976	0.05943	0.002126	-0.11	0.1313	7001	1000
	beta[55]	-0.04655	0.06129	0.002079	-0.1675	0.07426	7001	1000
	beta[56]	0.004711	0.06257	0.002127	-0.1191	0.1252	7001	1000
	beta[57]	-0.003508	0.05456	0.00195	-0.1086	0.1032	7001	1000
	beta[58]	-0.05306	0.05577	0.001733	-0.163	0.05821	7001	1000
