		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[1]	2.255	0.356	0.03532	1.596	2.954	2000	1000
	alpha[2]	4.547	0.3887	0.03369	3.838	5.266	2000	1000
	alpha[3]	3.66	0.42	0.03191	2.882	4.538	2000	1000
	alpha[4]	3.768	0.3913	0.03435	2.992	4.527	2000	1000
	alpha[5]	2.118	0.3585	0.03416	1.421	2.826	2000	1000
	alpha[6]	2.602	0.3688	0.03856	1.886	3.299	2000	1000
	alpha[7]	3.664	0.3712	0.03301	2.943	4.393	2000	1000
	alpha[8]	3.1	0.4225	0.0364	2.303	3.948	2000	1000
	alpha[9]	3.079	0.3688	0.03149	2.361	3.816	2000	1000
	alpha[10]	2.968	0.397	0.03474	2.212	3.793	2000	1000
	alpha[11]	3.526	0.3452	0.02965	2.85	4.222	2000	1000
	alpha[12]	2.349	0.3496	0.03133	1.69	3.068	2000	1000
	alpha[13]	3.508	0.3378	0.0311	2.878	4.192	2000	1000
	alpha[14]	4.838	0.3659	0.03627	4.153	5.522	2000	1000
	alpha[15]	4.168	0.4176	0.03417	3.333	4.964	2000	1000
	alpha[16]	3.096	0.3873	0.03757	2.342	3.854	2000	1000
	alpha[17]	4.217	0.325	0.02777	3.58	4.868	2000	1000
	alpha[18]	1.945	0.336	0.03074	1.311	2.576	2000	1000
	alpha[19]	3.88	0.3531	0.03288	3.218	4.574	2000	1000
	alpha[20]	2.044	0.3404	0.03078	1.411	2.701	2000	1000
	alpha[21]	2.948	0.3308	0.0282	2.32	3.625	2000	1000
	alpha[22]	2.9	0.4686	0.03529	2.027	3.833	2000	1000
	alpha[23]	4.071	0.365	0.03494	3.304	4.739	2000	1000
	alpha[24]	3.629	0.3394	0.03171	2.98	4.277	2000	1000
	alpha[25]	3.449	0.3812	0.03154	2.726	4.21	2000	1000
	alpha[26]	3.198	0.3688	0.03628	2.512	3.963	2000	1000
	alpha[27]	3.059	0.3304	0.02865	2.422	3.718	2000	1000
	alpha[28]	4.365	0.3577	0.03169	3.686	5.058	2000	1000
	alpha[29]	3.283	0.3532	0.03263	2.59	3.92	2000	1000
	alpha[30]	2.949	0.3578	0.03304	2.248	3.635	2000	1000
	alpha[31]	3.193	0.3785	0.02952	2.464	3.917	2000	1000
	alpha[32]	4.581	0.337	0.02733	3.933	5.264	2000	1000
	alpha[33]	2.344	0.4169	0.03542	1.537	3.151	2000	1000
	alpha[34]	4.25	0.3676	0.03366	3.551	4.934	2000	1000
	alpha[35]	3.557	0.3721	0.03525	2.867	4.293	2000	1000
	alpha[36]	3.242	0.3548	0.02755	2.523	3.933	2000	1000
	alpha[37]	3.094	0.4131	0.0313	2.298	4.006	2000	1000
	alpha[38]	3.795	0.3651	0.03257	3.098	4.511	2000	1000
	alpha[39]	4.167	0.3518	0.03042	3.488	4.865	2000	1000
	alpha[40]	4.23	0.5714	0.0351	3.119	5.352	2000	1000
	alpha[41]	3.892	0.3846	0.03366	3.103	4.628	2000	1000
	alpha[42]	3.376	0.3578	0.03247	2.683	4.05	2000	1000
	alpha[43]	2.469	0.4768	0.03883	1.519	3.401	2000	1000
	alpha[44]	2.98	0.3532	0.03242	2.321	3.658	2000	1000
	alpha[45]	2.717	0.3475	0.02485	1.991	3.373	2000	1000
	alpha[46]	2.465	0.3674	0.03329	1.745	3.193	2000	1000
	alpha[47]	4.423	0.3498	0.02972	3.746	5.151	2000	1000
	alpha[48]	2.984	0.3374	0.02924	2.317	3.658	2000	1000
	alpha[49]	2.797	0.3913	0.03353	2.084	3.532	2000	1000
	alpha[50]	4.205	0.3481	0.0277	3.53	4.916	2000	1000
	alpha[51]	5.069	0.3906	0.02907	4.344	5.855	2000	1000
	alpha[52]	2.658	0.4012	0.0374	1.888	3.457	2000	1000
	alpha[53]	3.026	0.3825	0.0337	2.266	3.752	2000	1000
	alpha[54]	2.765	0.3715	0.03448	2.035	3.482	2000	1000
	alpha[55]	3.575	0.3586	0.03112	2.907	4.279	2000	1000
	alpha[56]	3.385	0.3856	0.03492	2.678	4.141	2000	1000
	alpha[57]	2.842	0.3505	0.03426	2.137	3.547	2000	1000
	alpha[58]	3.725	0.3501	0.03414	3.06	4.387	2000	1000
	alpha[59]	3.88	0.3764	0.03418	3.157	4.643	2000	1000
	alpha[60]	3.093	0.3425	0.02999	2.406	3.767	2000	1000
	alpha[61]	3.784	0.3469	0.0304	3.073	4.467	2000	1000
	alpha[62]	3.438	0.3622	0.03575	2.731	4.144	2000	1000
	alpha[63]	3.858	0.3816	0.03447	3.128	4.573	2000	1000
	alpha[64]	3.836	0.3897	0.03349	3.05	4.643	2000	1000
	alpha[65]	2.725	0.3857	0.0317	1.966	3.44	2000	1000
	alpha[66]	1.967	0.3756	0.03615	1.28	2.722	2000	1000
	alpha[67]	3.894	0.3548	0.03525	3.195	4.585	2000	1000
	alpha[68]	4.408	0.3453	0.03278	3.724	5.095	2000	1000
	alpha[69]	2.591	0.3617	0.03336	1.892	3.296	2000	1000
	alpha[70]	4.423	0.3397	0.02917	3.727	5.079	2000	1000
	alpha[71]	2.672	0.3605	0.03445	1.988	3.344	2000	1000
	alpha[72]	3.356	0.4141	0.03367	2.55	4.176	2000	1000
	alpha[73]	3.521	0.4045	0.02769	2.765	4.305	2000	1000
